first_name,last_name,price,converted_price,above_100
William,Garcia,258.1809089,258.18,True
Barbara,Freeman,141.890534,141.89,True
Rebecca,Zimmerman,293.373272,293.37,True
Patricia,Velasquez,249.9479246,249.95,True
Ronnie,Clark,272.908659,272.91,True
Timothy,Rose,65.74326968,65.74,False
Joshua,Ramirez,64.54997394,64.55,False
Joseph,Dawson,111.0171384,111.02,True
Robert,Rios,87.31797988,87.32,False
Karen,Mitchell,277.2511543,277.25,True
Patrick,Greene,7.259436115,7.26,False
Matthew,Nelson,295.3146887,295.31,True
Melissa,Smith,70.04282129,70.04,False
Amy,Johnson,78.26892103,78.27,False
Edgar,Ellis,208.6777041,208.68,True
Olivia,Rivera,104.8094951,104.81,True
Kelly,Leblanc MD,40.20849552,40.21,False
Jennifer,Anderson,17.90633335,17.91,False
Tammy,Clark,125.0672217,125.07,True
Jennifer,Marquez,21.63604687,21.64,False
Cory,Silva,36.24541189,36.25,False
Mackenzie,Moon,264.9268902,264.93,True
Larry,Wade,126.3049676,126.3,True
Diana,Shaffer,37.50406255,37.5,False
Stephen,Smith,168.1895294,168.19,True
Kendra,White,265.1085587,265.11,True
Lindsey,Williamson,280.3953974,280.4,True
Wanda,Hale,106.0997985,106.1,True
Jillian,Davies DDS,10.64366962,10.64,False
Douglas,Thomas,119.0382607,119.04,True
Jennifer,Davis,153.0526538,153.05,True
George,Holmes,44.38614111,44.39,False
Marissa,Webster,105.4378241,105.44,True
Anna,Boyle,80.47552199,80.48,False
Paul,Gillespie,174.6815735,174.68,True
Autumn,Johnston,132.780344,132.78,True
Tracey,Norton DDS,118.0225331,118.02,True
Amy,Flynn,128.6739798,128.67,True
Melissa,Davis,72.58977535,72.59,False
Vincent,Mitchell,78.43990466,78.44,False
Gregory,Martin,144.6915752,144.69,True
Robert,Coffey Jr.,117.3205633,117.32,True
Melissa,Montgomery,101.4845534,101.48,True
Krystal,Cunningham,296.536062,296.54,True
Scott,Lee,163.4878508,163.49,True
James,Murray,28.59025756,28.59,False
Hunter,Stokes,3.582742282,3.58,False
Jasmine,Austin,33.90382995,33.9,False
Grant,Summers,51.78034157,51.78,False
Sarah,Spencer DDS,271.6023676,271.6,True
Brianna,Lewis,192.617676,192.62,True
Rhonda,Martin DVM,145.6455553,145.65,True
Dennis,Lawrence Jr.,161.3584294,161.36,True
Michael,Stewart,245.4400987,245.44,True
William,Wilkins,22.90555849,22.91,False
Rebecca,Jimenez,142.590737,142.59,True
Kathleen,Roman,15.10135967,15.1,False
Billy,Smith,22.53181535,22.53,False
Nicole,James,101.913846,101.91,True
Allison,Holt,12.7990102,12.8,False
Amanda,Johnson,19.17461281,19.17,False
Michael,Spencer,171.890946,171.89,True
Brandi,King,30.05366744,30.05,False
Alexander,King,23.47063099,23.47,False
Nicole,Sampson,207.6385148,207.64,True
Savannah,Bell,22.05563858,22.06,False
Jessica,Harris MD,103.7031099,103.7,True
Lauren,Gallagher,266.215602,266.22,True
Jack,Townsend,93.27791862,93.28,False
Jamie,Nguyen,228.9953328,229.0,True
Ann,Price,266.323001,266.32,True
Michael,Rodriguez,224.0452951,224.05,True
Heather,Davidson,219.8337855,219.83,True
Marie,Green,146.6406753,146.64,True
Lori,Tapia,147.3422789,147.34,True
