first_name,last_name,price,converted_price,above_100
William,Dixon,109.0372796,109.04,True
Kristen,Horn,262.5246522,262.52,True
Kimberly,Chang,187.0072583,187.01,True
Mary,Ball,283.1746476,283.17,True
Benjamin,Craig,143.8715817,143.87,True
Cathy,Werner,61.50899135,61.51,False
Brandon,Bell,48.6373091,48.64,False
Paul,Farley,12.38946479,12.39,False
Sarah,Mcdaniel,151.5954472,151.6,True
Caroline,Anderson,75.62152103,75.62,False
Carl,Jones,147.0294047,147.03,True
Scott,Lee,244.1856527,244.19,True
Kaylee,Coleman,17.86427032,17.86,False
Charles,Parker,215.537283,215.54,True
Susan,Hess,38.35997063,38.36,False
Kiara,Collier,204.1825486,204.18,True
Mr.,Scott Martinez,165.8514289,165.85,True
Christopher,Ortega,30.30144506,30.3,False
Michael,Russell,243.1724911,243.17,True
Dwayne,Johnson,287.4932856,287.49,True
Patty,Smith,180.2344257,180.23,True
Deanna,Sherman,99.79911842,99.8,False
Douglas,Francis,161.7688908,161.77,True
Vicki,Diaz,18.64987672,18.65,False
Robin,Phillips,244.9119836,244.91,True
Travis,Rice,141.4988254,141.5,True
Ashley,Rocha,50.00303731,50.0,False
Sarah,Jacobson,80.48182457,80.48,False
Kayla,Shannon,98.91531394,98.92,False
Sean,Wang DDS,220.6282177,220.63,True
Richard,Estrada,49.16869151,49.17,False
Joseph,Torres,150.1237842,150.12,True
Kim,Jones,18.8434377,18.84,False
Melissa,Tanner,269.1840299,269.18,True
Jackson,Cline,64.31251721,64.31,False
Sonya,Foster,296.2155012,296.22,True
Allen,Williams,15.3908317,15.39,False
Mr.,Thomas Rivera,95.22843716,95.23,False
Jamie,Silva,296.8244075,296.82,True
Kathleen,Moore,92.50052419,92.5,False
Evelyn,Pineda,169.2289293,169.23,True
Kyle,Peters,106.7990952,106.8,True
Anthony,Cruz,49.10199817,49.1,False
Eric,Flores,122.9556986,122.96,True
Anna,Richardson,254.4952606,254.5,True
Gary,Harper,47.59652592,47.6,False
Linda,Johnson,115.3627815,115.36,True
Melissa,Smith,87.97994846,87.98,False
Kristen,Floyd,135.0230413,135.02,True
William,Diaz,192.1491355,192.15,True
Benjamin,Smith,134.9052939,134.91,True
David,Glenn,216.2910463,216.29,True
Dawn,Jones,271.6144999,271.61,True
Joel,Smith,14.4949198,14.49,False
Mr.,Larry Grimes MD,268.6758682,268.68,True
Joseph,Arnold,121.7750468,121.78,True
Kyle,Long,241.6216391,241.62,True
Brittany,Day,261.5460574,261.55,True
Bobby,Ward,63.5130358,63.51,False
Thomas,Lee,254.0755771,254.08,True
Jennifer,Hansen,101.4887352,101.49,True
Lisa,Murray,176.0919174,176.09,True
Meghan,Wade,273.2303409,273.23,True
Tammie,Brooks,84.88856949,84.89,False
Maria,Bell,264.0746652,264.07,True
Allison,Livingston,130.3484426,130.35,True
Chris,Hays,17.34276379,17.34,False
Courtney,Mitchell,78.93257699,78.93,False
Shawn,White,188.0219256,188.02,True
Taylor,Gomez,225.0198237,225.02,True
Jeremy,Rodriguez,200.7248208,200.72,True
April,Garcia,66.24555967,66.25,False
Zachary,Watts,15.49738786,15.5,False
Sarah,Montoya,206.8212547,206.82,True
Jennifer,Barker,89.18615989,89.19,False
Sharon,Garza,72.35772704,72.36,False
Tiffany,Stevens,196.379322,196.38,True
Ruben,Armstrong,93.69836738,93.7,False
Dr.,Jeffrey Spencer,271.162282,271.16,True
Nicole,Ramsey,247.8596071,247.86,True
Anne,Roy,277.9324821,277.93,True
Lori,Sanchez,285.6616405,285.66,True
Allison,Chavez,126.850211,126.85,True
Marcus,Adams,36.47040894,36.47,False
Mary,Smith,16.31507197,16.32,False
Joseph,Reed,178.4576742,178.46,True
Jason,Armstrong,26.04525746,26.05,False
Jeff,Armstrong,88.47561284,88.48,False
Sean,Shields,247.8395255,247.84,True
